省,市,区县,公司简称,公司全名,行业,2017前3季度销售额(万）,利润(万）,利润率,股票代码,注册地址,办公地址,官网,上市日期
湖南省,长沙市,岳麓区,中联重科,中联重科股份有限公司,商用运载工具与车辆,1786027,113713,6.40%,中联重科(000157),湖南省长沙市银盆南路361号,湖南省长沙市银盆南路361号,www.zoomlion.com,2000/10/12
湖南省,长沙市,岳麓区,九芝堂,九芝堂股份有限公司,制药,275050,58684,21.30%,九芝堂(000989),湖南省长沙市桐梓坡西路339号,湖南省长沙市岳麓区桐梓坡西路339号,www.hnjzt.com,2000/6/28
湖南省,长沙市,岳麓区,拓维信息,拓维信息系统股份有限公司,移动通信服务,80057,15106,18.90%,拓维信息(002261),湖南省长沙市岳麓区桐梓坡西路298号,湖南省长沙市岳麓区桐梓坡西路298号,www.talkweb.com.cn,2008/7/23
湖南省,长沙市,岳麓区,博云新材,湖南博云新材料股份有限公司,航空航天,39878,-2507,-6.30%,博云新材(002297),湖南省长沙市河西国家级高新技术产业开发区麓谷麓松路500号,湖南省长沙市岳麓区雷锋大道346号,www.hnboyun.com.cn,2009/9/29
湖南省,长沙市,岳麓区,金杯电工,金杯电工股份有限公司,电子电气组件与设备,273951,13645,5.00%,金杯电工(002533),湖南省长沙市高新技术产业开发区东方红中路580号,湖南省长沙市国家高新技术产业开发区东方红中路580号,www.gold-cup.cn,2010/12/31
湖南省,长沙市,岳麓区,多喜爱,多喜爱家纺股份有限公司,服装与服饰,44602,1124,2.50%,多喜爱(002761),湖南省长沙市岳麓区麓谷大道627号长海创业基地南二层,湖南省长沙市岳麓区环联路102号,www.dohia.com,2015/6/10
湖南省,长沙市,岳麓区,长缆科技,长缆电工科技股份有限公司,电子电气组件与设备,44937,10240,22.80%,长缆科技(002879),湖南省长沙高新开发区麓谷工业园桐梓坡西路223号,湖南省长沙高新开发区麓谷工业园桐梓坡西路223号,www.csdlfj.com,2017/7/7
湖南省,长沙市,岳麓区,天舟文化,天舟文化股份有限公司,出版业,51685,14178,27.40%,天舟文化(300148),湖南省长沙县星沙镇茶叶大市场办公楼502、602号,湖南省长沙市岳麓区银杉路31号绿地中央广场紫峰写字楼6栋33F,www.t-angel.com,2010/12/15
湖南省,长沙市,岳麓区,三诺生物,三诺生物传感股份有限公司,工业机械,76264,24731,32.40%,三诺生物(300298),湖南省长沙市高新技术产业开发区谷苑路265号,湖南省长沙市国家高新技术开发区谷苑路265号,www.sinocare.com,2012/3/19
湖南省,长沙市,岳麓区,红宇新材,湖南红宇耐磨新材料股份有限公司,工业金属,30266,1167,3.90%,红宇新材(300345),湖南省长沙市金洲新区金沙西路068号,湖南省长沙市岳麓区银杉路031号(绿地中央广场)6栋31楼,www.chinahongyu.cn,2012/8/1
湖南省,长沙市,岳麓区,景嘉微,长沙景嘉微电子股份有限公司,电子电气组件与设备,24669,9728,39.40%,景嘉微(300474),湖南省长沙高新开发区麓谷麓景路2号,湖南省长沙高新开发区麓谷麓景路2号,www.jingjiamicro.com,2016/3/31
湖南省,长沙市,岳麓区,华自科技,华自科技股份有限公司,电子电气组件与设备,34181,2229,6.50%,华自科技(300490),湖南省长沙高新开发区麓谷麓松路609号,湖南省长沙高新开发区麓谷麓松路609号,www.cshnac.com,2015/12/31
